,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,17,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,setMaxThreads,,"consolePropertyMessage(""DRDA_InvalidValue.U"", new String []",,3743,3743,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3743,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"private void setMaxThreads(int value) throws Exception
	{
		if (value < MIN_MAXTHREADS)
			consolePropertyMessage(""DRDA_InvalidValue.U"", new String [] 
				{new Integer(value).toString(), ""maxthreads""});
		if (value == USE_DEFAULT)
			value = DEFAULT_MAXTHREADS;
		synchronized(threadsSync) {
			maxThreads = value;
		}
	}"
1,40,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,getPropertyValues,,"retval.put(Property.DRDA_PROP_PORTNUMBER, new Integer(portNumber).toString());",,3893,3893,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3893,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"Properties getPropertyValues()
	{
		Properties retval = new Properties();
		retval.put(Property.DRDA_PROP_PORTNUMBER, new Integer(portNumber).toString());
		retval.put(Property.DRDA_PROP_HOSTNAME, hostArg);
		retval.put(Property.DRDA_PROP_KEEPALIVE, new Boolean(keepAlive).toString());

		String tracedir = getTraceDirectory();
		if (tracedir != null)
			retval.put(Property.DRDA_PROP_TRACEDIRECTORY, tracedir);
		retval.put(Property.DRDA_PROP_TRACEALL, new Boolean(getTraceAll()).toString());
		retval.put(Property.DRDA_PROP_MINTHREADS, new Integer(getMinThreads()).toString());
		retval.put(Property.DRDA_PROP_MAXTHREADS, new Integer(getMaxThreads()).toString());
		retval.put(Property.DRDA_PROP_TIMESLICE, new Integer(getTimeSlice()).toString());

		retval.put(Property.DRDA_PROP_TIMESLICE, new  Integer(getTimeSlice()).toString());
		retval.put(Property.DRDA_PROP_LOGCONNECTIONS, new Boolean(getLogConnections()).toString());
		String startDRDA = PropertyUtil.getSystemProperty(Property.START_DRDA);
		//DERBY-375 If a system property is specified without any value, getProperty returns 
		//an empty string. Use default values in such cases.
		if(startDRDA!=null && startDRDA.equals(""""))
			startDRDA = ""false"";

		retval.put(Property.START_DRDA, (startDRDA == null)? ""false"" : startDRDA);

		// DERBY-2108 SSL
		retval.put(Property.DRDA_PROP_SSL_MODE, getSSLModeString(getSSLMode()));
		
        // if Property.DRDA_PROP_SECURITYMECHANISM has been set on server
        // then put it in retval else the default behavior is as though 
        // it is not set
        if ( getSecurityMechanism() != INVALID_OR_NOTSET_SECURITYMECHANISM )
            retval.put( Property.DRDA_PROP_SECURITYMECHANISM, getStringValueForSecMec(getSecurityMechanism()));
        
		//get the trace value for each session if tracing for all is not set
		if (!getTraceAll())
		{
			synchronized(sessionTable) {
				for (Enumeration e = sessionTable.elements(); e.hasMoreElements(); )
				{	
					Session session = (Session) e.nextElement();
					if (session.isTraceOn())
						retval.put(Property.DRDA_PROP_TRACE+"".""+session.getConnNum(), ""true"");
				}
			}
		}
		return retval;
	}"
2,133,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,consoleTraceMessage,,args[1] = new Integer(connNum).toString();,,1314,1314,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1314,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"private void consoleTraceMessage(int connNum, boolean on)
		throws Exception
	{
		if (connNum == 0)
			consolePropertyMessage(""DRDA_TraceChangeAll.I"", on ? ""DRDA_ON.I"" : ""DRDA_OFF.I"");
		else
		{
			String[] args = new String[2];
			args[0] = on ? ""DRDA_ON.I"" : ""DRDA_OFF.I"";
			args[1] = new Integer(connNum).toString();
			consolePropertyMessage(""DRDA_TraceChangeOne.I"", args);
		}
	}"
3,247,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,executeWork,,"consolePropertyMessage(""DRDA_ConnectionTested.I"", new String []",,2264,2264,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L2264,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"public void executeWork(int command) throws Exception
	{
		// if we didn't have a valid command just return - error already generated
		if (command == COMMAND_UNKNOWN)
			return;

		// check that we have the right number of required arguments
		if (commandArgs.size() != COMMAND_ARGS[command])
			consolePropertyMessage(""DRDA_InvalidNoArgs.U"", COMMANDS[command]);
		int min;
		int max;


		switch (command)
		{
			case COMMAND_START:
				// the server was started from the command line, shutdown the
				// databases when the server is shutdown
				shutdownDatabasesOnShutdown = true;
				blockingStart(makePrintWriter(System.out));
				break;
			case COMMAND_SHUTDOWN:
				shutdown();
				consolePropertyMessage(""DRDA_ShutdownSuccess.I"", new String [] 
								{att_srvclsnm, versionString});
				break;
			case COMMAND_TRACE:
				{
					boolean on = isOn((String)commandArgs.get(0));
					trace(sessionArg, on);
					consoleTraceMessage(sessionArg, on);
					break;
				}
			case COMMAND_TRACEDIRECTORY:
				String directory = (String) commandArgs.get(0);
				sendSetTraceDirectory(directory);
				consolePropertyMessage(""DRDA_TraceDirectoryChange.I"", directory);
				break;
			case COMMAND_TESTCONNECTION:
				ping();
				consolePropertyMessage(""DRDA_ConnectionTested.I"", new String [] 
					{hostArg, (new Integer(portNumber)).toString()});
				break;
			case COMMAND_LOGCONNECTIONS:
				{
					boolean on = isOn((String)commandArgs.get(0));
					logConnections(on);
					consolePropertyMessage(""DRDA_LogConnectionsChange.I"", on ? ""DRDA_ON.I"" : ""DRDA_OFF.I"");
					break;
				}
			case COMMAND_SYSINFO:
				{
					String info = sysinfo();
					consoleMessage(info, false);
					break;
				}
			case COMMAND_MAXTHREADS:
				max = 0;
				try{
					max = Integer.parseInt((String)commandArgs.get(0));
				}catch(NumberFormatException e){
					consolePropertyMessage(""DRDA_InvalidValue.U"", new String [] 
						{(String)commandArgs.get(0), ""maxthreads""});
				}
				if (max < MIN_MAXTHREADS)
					consolePropertyMessage(""DRDA_InvalidValue.U"", new String [] 
						{new Integer(max).toString(), ""maxthreads""});
				netSetMaxThreads(max);

				break;
			case COMMAND_RUNTIME_INFO:
				String reply = runtimeInfo();
				consoleMessage(reply, false);
				break;
			case COMMAND_TIMESLICE:
				int timeslice = 0;
				String timeSliceArg = (String)commandArgs.get(0);
            	try{
                	timeslice = Integer.parseInt(timeSliceArg);
            	}catch(NumberFormatException e){
					consolePropertyMessage(""DRDA_InvalidValue.U"", new String [] 
						{(String)commandArgs.get(0), ""timeslice""});
            	}
				if (timeslice < MIN_TIMESLICE)
					consolePropertyMessage(""DRDA_InvalidValue.U"", new String [] 
						{new Integer(timeslice).toString(), ""timeslice""});
				netSetTimeSlice(timeslice);
				
				break;
			default:
				//shouldn't get here
				if (SanityManager.DEBUG)
					SanityManager.THROWASSERT(""Invalid command in switch:""+ command);
		}
	}"
4,332,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.client.am,org.apache.derby.client.am.ColumnMetaData,,assignColumnName,,Integer,"Integer,column,toString",835,835,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/client/org/apache/derby/client/am/ColumnMetaData.java#L835,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/am/ColumnMetaData.java,,close,"void assignColumnName(int column) {
        if (columnNameToIndexCache_ == null) {
            columnNameToIndexCache_ = new java.util.Hashtable();
        }
        String columnName = (new Integer(column)).toString();
        columnNameToIndexCache_.put(columnName, new Integer(column));
        sqlName_[column - 1] = columnName;
    }"
5,414,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,netSetTimeSlice,,"consolePropertyMessage(""DRDA_TimeSliceChange.I"",",,1447,1447,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1447,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"public void netSetTimeSlice(int timeslice)
		throws Exception
	{
        try {
            setUpSocket();
            writeCommandHeader(COMMAND_TIMESLICE);
            commandOs.writeInt(timeslice);
            send();
            readResult();
            int newval = readInt();
            consolePropertyMessage(""DRDA_TimeSliceChange.I"",
                    new Integer(newval).toString());
        } finally {
            closeSocket();
        }  
	}"
6,461,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,setUpSocket,,"consolePropertyMessage(""DRDA_NoIO.S"",",,2597,2597,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L2597,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"private void setUpSocket() throws Exception
	{
		
		try {
			clientSocket = (Socket) AccessController.doPrivileged(
								new PrivilegedExceptionAction() {
										
									public Object run() 
										throws UnknownHostException,
											   IOException, 
											   java.security.NoSuchAlgorithmException,
											   java.security.KeyManagementException,
                                               java.security.NoSuchProviderException,
                                               java.security.KeyStoreException,
                                               java.security.UnrecoverableKeyException,
                                               java.security.cert.CertificateException
									{
										if (hostAddress == null)
											hostAddress = InetAddress.getByName(hostArg);
                                        
										switch(getSSLMode()) {
										case SSL_BASIC:
											SSLSocket s1 = (SSLSocket)NaiveTrustManager.getSocketFactory().
												createSocket(hostAddress, portNumber);
											// Need to handshake now to get proper error reporting.
											s1.startHandshake();
											return s1;

										case SSL_PEER_AUTHENTICATION:
											SSLSocket s2 = (SSLSocket)SSLSocketFactory.getDefault().
												createSocket(hostAddress, portNumber);
											// Need to handshake now to get proper error reporting.
											s2.startHandshake();
											return s2;

										case SSL_OFF:
										default:
											return SocketFactory.getDefault().
												createSocket(hostAddress, portNumber);
										}
									}
								}
							);
		} catch (PrivilegedActionException pae) {
			Exception e1 = pae.getException();
			if (e1 instanceof UnknownHostException) {
					consolePropertyMessage(""DRDA_UnknownHost.S"", hostArg);
			}
			else if (e1 instanceof IOException) {
					consolePropertyMessage(""DRDA_NoIO.S"",
										   new String [] {hostArg, 
														  (new Integer(portNumber)).toString(), 
														  e1.getMessage()});
			}
		} catch (Exception e) {
		// If we find other (unexpected) errors, we ultimately exit--so make
		// sure we print the error message before doing so (Beetle 5033).
			throwUnexpectedException(e);
		}

		try
		{
		   clientIs = clientSocket.getInputStream();
	       clientOs = clientSocket.getOutputStream();
		} catch (IOException e) {
			consolePropertyMessage(""DRDA_NoInputStream.I"", true);
			throw e;
        }
	}"
7,585,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,processCommands,,"throw new Throwable(langUtil.getTextMessage(""DRDA_UnknownProtocol.S"",  new Integer(version).toString()));",,1658,1658,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1658,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"protected synchronized void processCommands(DDMReader reader, DDMWriter writer, 
		Session session) throws Throwable
	{
		try {
			String protocolStr = reader.readCmdString(4);
			String locale = DEFAULT_LOCALE;
			String codeset = null;
			// get the version
			int version = reader.readNetworkShort();
			if (version <= 0 || version > MAX_ALLOWED_PROTOCOL_VERSION)
				throw new Throwable(langUtil.getTextMessage(""DRDA_UnknownProtocol.S"",  new Integer(version).toString()));
			int localeLen = reader.readByte();
			if (localeLen > 0)
			{
				currentSession = session;
				locale = reader.readCmdString(localeLen);
				session.langUtil = new LocalizedResource(codeset,locale,DRDA_PROP_MESSAGES);
			}
			String notLocalMessage = null;
			// for now codesetLen is always 0
			int codesetLen = reader.readByte();
			int command = reader.readByte();
			if (command !=  COMMAND_TESTCONNECTION)
			{
				try {
					checkAddressIsLocal(session.clientSocket.getInetAddress());
				}catch (Exception e)
				{
					notLocalMessage = e.getMessage();
				}
			}
			if (notLocalMessage != null)
			{
				sendMessage(writer, ERROR,notLocalMessage);
				session.langUtil = null;
				currentSession = null;
				return;
			}

			switch(command)
			{
				case COMMAND_SHUTDOWN:
					if (version == SHUTDOWN_WITH_CREDENTIAL_PROTOCOL_VERSION) {
						//Protocol version of client is not at default protocol
						//of 1 because this version of shutdown command has
						//username and password supplied with it. When the
						//protocol version of client is 
						//SHUTDOWN_WITH_CREDENTIAL_PROTOCOL_VERSION, then we 
						//know to expect username and password
						// DERBY-2109: receive user credentials for shutdown
						// System Privileges check
						userArg = reader.readCmdString();
						passwordArg = reader.readCmdString();
					}
					try {
						checkShutdownPrivileges();
						sendOK(writer);
						directShutdownInternal();
					} catch (SQLException sqle) {
						sendSQLMessage(writer, sqle, SQLERROR);
						// also print a message to the console
						consolePropertyMessage(""DRDA_ShutdownWarning.I"",
											   sqle.getMessage());
					}
					break;
				case COMMAND_TRACE:
					sessionArg = reader.readNetworkInt();
					boolean on = (reader.readByte() == 1);
					if (setTrace(on))
					{
						sendOK(writer);
					}
					else
					{
					    if (sessionArg != 0)
							sendMessage(writer, ERROR,  
							    localizeMessage(""DRDA_SessionNotFound.U"", 
									    (session.langUtil == null) ? langUtil : session.langUtil,
									    new String [] {new Integer(sessionArg).toString()}));
					    else
							sendMessage(writer, ERROR,  
										localizeMessage(""DRDA_ErrorStartingTracing.S"",null));          
					}
					break;
				case COMMAND_TRACEDIRECTORY:
					setTraceDirectory(reader.readCmdString());
					sendOK(writer);
					consolePropertyMessage(""DRDA_TraceDirectoryChange.I"", traceDirectory);
					break;
				case COMMAND_TESTCONNECTION:
					databaseArg = reader.readCmdString();
					userArg = reader.readCmdString();
					passwordArg = reader.readCmdString();
					if (databaseArg != null)
						connectToDatabase(writer, databaseArg, userArg, passwordArg);
					else
						sendOK(writer);
					break;
				case COMMAND_LOGCONNECTIONS:
					boolean log = (reader.readByte() == 1);
					setLogConnections(log);
					sendOK(writer);
					consolePropertyMessage(""DRDA_LogConnectionsChange.I"",
						(log ? ""DRDA_ON.I"" : ""DRDA_OFF.I""));
					break;
				case COMMAND_SYSINFO:
					sendSysInfo(writer);
					break;
				case COMMAND_PROPERTIES:
					sendPropInfo(writer);
					break;
				case COMMAND_RUNTIME_INFO:
					sendRuntimeInfo(writer);
					break;
				case COMMAND_MAXTHREADS:
					int max = reader.readNetworkInt();
					try {
						setMaxThreads(max);
					}catch (Exception e) {
						sendMessage(writer, ERROR, e.getMessage());
						return;
					}
					int newval = getMaxThreads();
					sendOKInt(writer, newval);
					consolePropertyMessage(""DRDA_MaxThreadsChange.I"", 
						new Integer(newval).toString());
					break;
				case COMMAND_TIMESLICE:
					int timeslice = reader.readNetworkInt();
					try {
						setTimeSlice(timeslice);
					}catch (Exception e) {
						sendMessage(writer, ERROR, e.getMessage());
						return;
					}
					newval = getTimeSlice();
					sendOKInt(writer, newval);
					consolePropertyMessage(""DRDA_TimeSliceChange.I"", 
						new Integer(newval).toString());
					break;
			}
		} catch (DRDAProtocolException e) {
			//we need to handle this since we aren't in DRDA land here
			consoleExceptionPrintTrace(e);

		} catch (Exception e) {
			consoleExceptionPrintTrace(e);
		}
		finally {
			session.langUtil = null;
			currentSession = null;
		}
	}"
8,811,derby,DM_BOXED_PRIMITIVE_FOR_PARSING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,getIntPropVal,,val = (new Integer(propVal)).intValue();,,3241,3241,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L3241,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"private int getIntPropVal(String propName, String propVal)
		throws Exception
	{
		int val = 0;
		try {
			 val = (new Integer(propVal)).intValue();
		} catch (Exception e)
		{
			consolePropertyMessage(""DRDA_InvalidPropVal.S"", new String [] 
				{propName, propVal});
		}
		return val;
	}"
9,882,derby,DM_BOXED_PRIMITIVE_TOSTRING,A,last,,PERFORMANCE,org.apache.derby.impl.drda,org.apache.derby.impl.drda.NetworkServerControlImpl,,netSetMaxThreads,,"consolePropertyMessage(""DRDA_MaxThreadsChange.I"", new Integer(",,1421,1421,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java#L1421,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/drda/org/apache/derby/impl/drda/NetworkServerControlImpl.java,,close,"public void netSetMaxThreads(int max) throws Exception
	{
        try {
            setUpSocket();
            writeCommandHeader(COMMAND_MAXTHREADS);
            commandOs.writeInt(max);
            send();
            readResult();
            int newval = readInt();
            consolePropertyMessage(""DRDA_MaxThreadsChange.I"", new Integer(
                    newval).toString());
        } finally {
            closeSocket();
        }		
        
	}"
