,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,63,derby,DM_BOOLEAN_CTOR,B,last,,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SelectNode,,genProjectRestrict,,prnRSN = (ResultSetNode) getNodeFactory().getNode(,,1657,1657,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/SelectNode.java#L1657,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/SelectNode.java,,close,"public ResultSetNode genProjectRestrict(int origFromListSize)
				throws StandardException
	{
        boolean[] eliminateSort = new boolean[orderByLists.length];

		ResultSetNode		prnRSN;

		prnRSN = (ResultSetNode) getNodeFactory().getNode(
								C_NodeTypes.PROJECT_RESTRICT_NODE,
								fromList.elementAt(0),	/* Child ResultSet */
								resultColumns,		/* Projection */
								whereClause,			/* Restriction */
								wherePredicates,/* Restriction as PredicateList */
								selectSubquerys,/* Subquerys in Projection */
								whereSubquerys,	/* Subquerys in Restriction */
								null,
								getContextManager()	 );

		/*
		** If we have aggregates OR a select list we want
		** to generate a GroupByNode.  In the case of a
		** scalar aggregate we have no grouping columns.
		**
		** JRESOLVE: what about correlated aggregates from another
		** block.
		*/ 
		if (((selectAggregates != null) && (selectAggregates.size() > 0)) 
			|| (groupByList != null))
		{
			Vector aggs = selectAggregates;
			if (havingAggregates != null && !havingAggregates.isEmpty()) {
				havingAggregates.addAll(selectAggregates);
				aggs = havingAggregates;
			}
			GroupByNode gbn = (GroupByNode) getNodeFactory().getNode(
												C_NodeTypes.GROUP_BY_NODE,
												prnRSN,
												groupByList,
												aggs,
												havingClause,
												havingSubquerys,
												null,
												new Integer(nestingLevel),
												getContextManager());
			gbn.considerPostOptimizeOptimizations(originalWhereClause != null);
			gbn.assignCostEstimate(optimizer.getOptimizedCost());

			groupByList = null;
			prnRSN  = gbn.getParent();

			// Remember whether or not we can eliminate the sort.
            for (int i=0; i < eliminateSort.length; i++ ) {
                eliminateSort[i] = eliminateSort[i] || gbn.getIsInSortedOrder();
            }
		}


		if (windows != null) {

			// Now we add a window result set wrapped in a PRN on top of what
			// we currently have.

			if (windows.size() > 1) {
				throw StandardException.newException(
					SQLState.LANG_WINDOW_LIMIT_EXCEEDED);
			}

			WindowNode wn = (WindowNode)windows.elementAt(0);

			WindowResultSetNode wrsn =
				(WindowResultSetNode)getNodeFactory().getNode(
					C_NodeTypes.WINDOW_RESULTSET_NODE,
					prnRSN,
					wn,
					windowFuncCalls,
					new Integer(nestingLevel),
					getContextManager());

			prnRSN = wrsn.getParent();
			wrsn.assignCostEstimate(optimizer.getOptimizedCost());
		}


		// if it is distinct, that must also be taken care of.
		if (isDistinct)
		{
			// We first verify that a distinct is valid on the
			// RCL.
			resultColumns.verifyAllOrderable();

			/* See if we can push duplicate elimination into the store
			 * via a hash scan.  This is possible iff:
			 *	o  A single table query
			 *	o  We haven't merged the order by and distinct sorts.
			 *	   (Results do not have to be in a particular order.)
			 *	o  All entries in the select's RCL are ColumnReferences.
			 *	o  No predicates (This is because we currently do not
			 *	   differentiate between columns referenced in the select
			 *	   list and columns referenced in other clauses.  In other
			 *	   words, the store will do duplicate elimination based on
			 *	   all referenced columns.)
			 *	   RESOLVE - We can change this to be all referenced columns
			 *	   have to be in the select list.  In that case, we need to
			 *	   refine which predicates are allowed.  Basically, all predicates
			 *	   must have been pushed down to the index/table scan.(If we make
			 *	   this change, then we need to verify that non of the columns in
			 *	   the predicates are correlated columns.)
			 *	o  NOTE: The implementation of isPossibleDistinctScan() will return
			 *	   false if there is an IndexRowToBaseRow above the 
			 *	   FromBaseTable.  This is because all of a table's columns must come
			 *	   from the same conglomerate in order to get consistent data.
			 */
			boolean distinctScanPossible = false;
			if (origFromListSize == 1 && !orderByAndDistinctMerged)
			{
				boolean simpleColumns = true;
				HashSet distinctColumns = new HashSet();
				int size = resultColumns.size();
				for (int i = 1; i <= size; i++) {
					BaseColumnNode bc = resultColumns.getResultColumn(i).getBaseColumnNode();
					if (bc == null) {
						simpleColumns = false;
						break;
					}
					distinctColumns.add(bc);
				}
				if (simpleColumns && prnRSN.isPossibleDistinctScan(distinctColumns)) {
					prnRSN.markForDistinctScan();
					distinctScanPossible = true;
				}
			}

			if (!distinctScanPossible)
			{
				/* We can't do a distinct scan. Determine if we can filter out 
				 * duplicates without a sorter. 
				 */
				boolean inSortedOrder = isOrderedResult(resultColumns, prnRSN, !(orderByAndDistinctMerged));
				prnRSN = (ResultSetNode) getNodeFactory().getNode(
											C_NodeTypes.DISTINCT_NODE,
											prnRSN,
											new Boolean(inSortedOrder),
											null,
											getContextManager());
				prnRSN.costEstimate = costEstimate.cloneMe();

                // Remember whether or not we can eliminate the sort.
                for (int i=0; i < eliminateSort.length; i++) {
                    eliminateSort[i] = eliminateSort[i] || inSortedOrder;
                }
			}
		}

		/* Generate the OrderByNode if a sort is still required for
		 * the order by.
		 */

        for (int i=0; i < orderByLists.length; i++) {
            if (orderByLists[i] != null)
            {
                if (orderByLists[i].getSortNeeded())
                {
                    prnRSN = (ResultSetNode) getNodeFactory().getNode(
                            C_NodeTypes.ORDER_BY_NODE,
                            prnRSN,
                            orderByLists[i],
                            null,
                            getContextManager());
                    prnRSN.costEstimate = costEstimate.cloneMe();
                }

                // There may be columns added to the select projection list
                // a query like:
                // select a, b from t group by a,b order by a+b
                // the expr a+b is added to the select list.
                int orderBySelect = this.getResultColumns().getOrderBySelect();
                if (orderBySelect > 0)
                {
                    // Keep the same RCL on top, since there may be references
                    // to its result columns above us, i.e. in this query:
                    //
                    // select sum(j),i from t group by i having i
                    //             in (select i from t order by j)
                    //
                    ResultColumnList topList = prnRSN.getResultColumns();
                    ResultColumnList newSelectList =
                        topList.copyListAndObjects();
                    prnRSN.setResultColumns(newSelectList);

                    topList.removeOrderByColumns();
                    topList.genVirtualColumnNodes(prnRSN, newSelectList);
                    prnRSN = (ResultSetNode) getNodeFactory().getNode(
                            C_NodeTypes.PROJECT_RESTRICT_NODE,
                            prnRSN,
                            topList,
                            null,
                            null,
                            null,
                            null,
                            null,
                            getContextManager());
                }
            }

            // Do this only after the main ORDER BY; any extra added by
            // IntersectOrExceptNode should sit on top of us.
            if (i == 0 && (offset != null || fetchFirst != null)) {
                // Keep the same RCL on top, since there may be references to
                // its result columns above us.
                ResultColumnList topList = prnRSN.getResultColumns();
                ResultColumnList newSelectList = topList.copyListAndObjects();
                prnRSN.setResultColumns(newSelectList);
                topList.genVirtualColumnNodes(prnRSN, newSelectList);
                prnRSN = (ResultSetNode)getNodeFactory().getNode(
                        C_NodeTypes.ROW_COUNT_NODE,
                        prnRSN,
                        topList,
                        offset,
                        fetchFirst,
                        Boolean.valueOf( hasJDBClimitClause ),
                        getContextManager());
            }
        }


		if (wasGroupBy &&
			resultColumns.numGeneratedColumnsForGroupBy() > 0 &&
			windows == null) // windows handling already added a PRN which
							 // obviates this.
		{
			// This case takes care of columns generated for group by's which 
			// will need to be removed from the final projection. Note that the
			// GroupByNode does remove generated columns but in certain cases
			// we dispense with a group by and replace it with a distinct instead.
			// So in a query like:
			// select c1 from t group by c1, c2
			// we would have added c2 to the projection list which will have to be 
			// projected out.
			//

			// Keep the same RCL on top, since there may be
			// references to its result columns above us, e.g. in this query:
			//
			// select sum(j),i from t group by i having i
			//             in (select i from t group by i,j )
			//
			ResultColumnList topList = prnRSN.getResultColumns();
			ResultColumnList newSelectList = topList.copyListAndObjects();
			prnRSN.setResultColumns(newSelectList);

			topList.removeGeneratedGroupingColumns();
			topList.genVirtualColumnNodes(prnRSN, newSelectList);
			prnRSN = (ResultSetNode) getNodeFactory().getNode(
						C_NodeTypes.PROJECT_RESTRICT_NODE,
						prnRSN,
						topList,
						null,
						null,
						null,
						null,
						null,
						getContextManager());
		}

        for (int i=0; i < orderByLists.length; i++) {
            if (!(orderByLists[i] != null && orderByLists[i].getSortNeeded()) &&
                orderByQuery)
            {
                // Remember whether or not we can eliminate the sort.
                eliminateSort[i] = true;
            }

            /* If we were able to eliminate the sort during optimization then
             * we must tell the underlying tree.  At minimum, this means no
             * group fetch on an index under an IndexRowToBaseRow since that
             * that could lead to incorrect results.  (Bug 2347.)
             */
            if (eliminateSort[i])
            {
                prnRSN.adjustForSortElimination(orderByLists[i]);
            }

            /* Set the cost of this node in the generated node */
            prnRSN.costEstimate = costEstimate.cloneMe();
        }

		return prnRSN;
	}"
1,837,derby,DM_BOOLEAN_CTOR,B,last,,PERFORMANCE,org.apache.derby.impl.sql.execute,org.apache.derby.impl.sql.execute.TriggerInfo,,hasTrigger,,Boolean,"Boolean,Boolean,hasTrigger,isBefore,isRow",166,166,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/execute/TriggerInfo.java#L166,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/execute/TriggerInfo.java,,close,"boolean hasTrigger(boolean isBefore, boolean isRow)
	{
		if (triggerArray == null)
		{
			return false;
		}

		return hasTrigger(new Boolean(isBefore), new Boolean(isRow));
	}"
2,132,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.FileMonitor,,run,,Boolean,"Boolean,PBinitialize,action",287,287,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/services/monitor/FileMonitor.java#L287,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/FileMonitor.java,,unknown,"public synchronized final Object run() throws IOException {
		switch (action) {
		case 0:
		case 1:
			// SECURITY PERMISSION - OP2, OP2a, OP2b
			return new Boolean(PBinitialize(action == 0));
		case 2: 
			// SECURITY PERMISSION - IP1
			return super.getDefaultModuleProperties();
		case 3:
			// SECURITY PERMISSION - OP1
			return PBgetJVMProperty(key3);
		case 4:
        {
            boolean setMinPriority = (intValue != 0);
            try {
                return super.getDaemonThread(task, key3, setMinPriority);
            } catch (IllegalThreadStateException e) {
                // We may get an IllegalThreadStateException if all the
                // previously running daemon threads have completed and the
                // daemon group has been automatically destroyed. If that's
                // what has happened, create a new daemon group and try again.
                if (daemonGroup != null && daemonGroup.isDestroyed()) {
                    daemonGroup = createDaemonGroup();
                    return super.getDaemonThread(task, key3, setMinPriority);
                } else {
                    throw e;
                }
            }
        }
		case 5:
			super.setThreadPriority(intValue);
			return null;
		case 6:
			// SECURITY PERMISSION - OP3
			return PBapplicationPropertiesStream();

		default:
			return null;
		}
	}"
3,140,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.store.raw.data,org.apache.derby.impl.store.raw.data.BaseDataFileFactory$5,,run,,return new Boolean(bsegdir.isDirectory());,,2603,2603,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java#L2603,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java,,close,"public Object run()
          {
              CodeSource cs = null;
              try {
                  cs = cls.getProtectionDomain().getCodeSource();
              }
              catch (SecurityException se) {
                  return se.getMessage();
              }
  
              if ( cs == null || cs.getLocation() == null )
                  return null;        
      
              URL result = cs.getLocation ();
      
              return result.toString();
          }"
4,292,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.StorageFactoryService$12,,run,,Boolean,"Boolean,file,exists",964,964,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java#L964,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java,,close,"public Object run() throws IOException, StandardException
                        {
                            home = relativeRoot.getPath();
                            canonicalHome = relativeRoot.getCanonicalPath();
                            rootStorageFactory = getStorageFactoryInstance( true, null, null, null);

                            if( home != null)
                            {
                                StorageFile rootDir = rootStorageFactory.newStorageFile( null);
                                boolean created = rootDir.mkdirs();
                                if (created) {
                                    rootDir.limitAccessToOwner();
                                }
                            }
                            return null;
                        }"
5,727,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,,sequentialCompress,,{if (true) return (StatementNode) nodeFactory.getNode(,,13484,13484,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L13484,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown,
6,776,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,,inplaceCompress,,{if (true) return (StatementNode) nodeFactory.getNode(,,13463,13463,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L13463,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown,
7,899,derby,DM_BOOLEAN_CTOR,A,last,,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.SQLParser,,routineElement,,clauseValue = new Boolean(routineSecurityClause());,,10667,10667,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java#L10667,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//generated/java/org/apache/derby/impl/sql/compile/SQLParser.java,,unknown,
8,3,derby,DM_NUMBER_CTOR,C,last,,PERFORMANCE,org.apache.derby.impl.store.replication.net,org.apache.derby.impl.store.replication.net.ReplicationMessageTransmit,,brokerConnection,,ReplicationMessage initiatorMsg =,,259,259,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/store/replication/net/ReplicationMessageTransmit.java#L259,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/store/replication/net/ReplicationMessageTransmit.java,,close,"private void brokerConnection(long synchOnInstant)
        throws IOException, StandardException, ClassNotFoundException {
        // Check that master and slave have the same serialVersionUID
        ReplicationMessage initiatorMsg = 
            new ReplicationMessage(ReplicationMessage.TYPE_INITIATE_VERSION, 
                                   new Long(ReplicationMessage.
                                            serialVersionUID));
        verifyMessageType(sendMessageWaitForReply(initiatorMsg),
                          ReplicationMessage.TYPE_ACK);

        // Check that master and slave log files are in synch
        initiatorMsg =
            new ReplicationMessage(ReplicationMessage.TYPE_INITIATE_INSTANT,
                                   new Long(synchOnInstant));
        verifyMessageType(sendMessageWaitForReply(initiatorMsg),
                          ReplicationMessage.TYPE_ACK);
    }"
9,4,derby,DM_NUMBER_CTOR,C,last,,PERFORMANCE,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.BaseMonitor,,newInstanceFromIdentifier,,"throw StandardException.newException(SQLState.REGISTERED_CLASS_INSTANCE_ERROR,",,698,698,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/engine/org/apache/derby/impl/services/monitor/BaseMonitor.java#L698,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/BaseMonitor.java,,close,"public Object newInstanceFromIdentifier(int identifier)
		throws StandardException {

		InstanceGetter ci = classFromIdentifier(identifier);

		Throwable t;
		try {
			Object result = ci.getNewInstance();
/*
				if (SanityManager.DEBUG) {
					if(SanityManager.DEBUG_ON(Monitor.NEW_INSTANCE_FROM_ID_TRACE_DEBUG_FLAG))
					{
						String traceResult = ""null"";

						if (result != null) traceResult = ""not null"";

						SanityManager.DEBUG(Monitor.NEW_INSTANCE_FROM_ID_TRACE_DEBUG_FLAG,
											""newInstanceFromIdentifier(""+identifier+"") ""+
											"" ClassName: ""+
											result.getClass().getName() +
											"" returned ""+
											traceResult);
					}
				}
*/
			return result;
		}
		catch (InstantiationException ie) {
			t = ie;
		}
 		catch (IllegalAccessException iae) {
			t = iae;
		}
		catch (InvocationTargetException ite) {
			t = ite;
		}
		catch (LinkageError le) {
			t = le;
		}
		throw StandardException.newException(SQLState.REGISTERED_CLASS_INSTANCE_ERROR,
			t, new Integer(identifier), ""XX"" /*ci.getClassName()*/);
	}"
