,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,155,derby,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.derby.impl.services.monitor,org.apache.derby.impl.services.monitor.StorageFactoryService,,resolveServicePropertiesFiles,,BufferedReader,"BufferedReader,FileReader,bin,spf,getPath",523,523,close,https://github.com/apache/derby/tree/9495437c8b640d689c8a67563097b86cb0cd6fca//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java#L523,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/services/monitor/StorageFactoryService.java,,close,"private void resolveServicePropertiesFiles(StorageFactory sf,
                                               StorageFile spf)
            throws StandardException {
        StorageFile spfOld = sf.newStorageFile(PROPERTIES_NAME.concat(""old""));
        FileOperationHelper foh = new FileOperationHelper();
        boolean hasCurrent = foh.exists(spf, true);
        boolean hasBackup = foh.exists(spfOld, true);
        // Shortcut the normal case.
        if (hasCurrent && !hasBackup) {
            return;
        }

        // Backup file, but no current file.
        if (hasBackup && !hasCurrent) {
            // Writing the new service properties file must have failed during
            // an update. Rename the backup to be the current file.
            foh.renameTo(spfOld, spf, true);
            Monitor.getStream().printlnWithHeader(
                                MessageService.getTextMessage(
                                    MessageId.SERVICE_PROPERTIES_RESTORED));
        // Backup file and current file.
        } else if (hasBackup && hasCurrent) {
            // See if the new (current) file is valid. If so delete the backup,
            // if not, rename the backup to be the current.
            BufferedReader bin = null;
            String lastLine = null;
            try {
                bin = new BufferedReader(new FileReader(spf.getPath()));
                String line;
                while ((line = bin.readLine()) != null) {
                    if (line.trim().length() != 0) {
                        lastLine = line;
                    }
                }
            } catch (IOException ioe) {
                throw StandardException.newException(
                        SQLState.UNABLE_TO_OPEN_FILE, ioe,
                        spf.getPath(), ioe.getMessage());
            } finally {
                try {
                    if (bin != null) {
                        bin.close();
                    }
                } catch (IOException ioe) {
                    // Ignore exception during close
                }
            }
            if (lastLine != null &&
                    lastLine.startsWith(SERVICE_PROPERTIES_EOF_TOKEN)) {
                // Being unable to delete the backup file is fine as long as
                // the current file appears valid.
                String msg;
                if (foh.delete(spfOld, false)) {
                    msg = MessageService.getTextMessage(
                            MessageId.SERVICE_PROPERTIES_BACKUP_DELETED);    
                } else {
                    // Include path so the user can delete file manually.
                    msg = MessageService.getTextMessage(
                            MessageId.SERVICE_PROPERTIES_BACKUP_DEL_FAILED,
                            getMostAccuratePath(spfOld));
                }
                Monitor.getStream().printlnWithHeader(msg);
            } else {
                foh.delete(spf, false);
                foh.renameTo(spfOld, spf, true);
                Monitor.getStream().printlnWithHeader(
                                MessageService.getTextMessage(
                                    MessageId.SERVICE_PROPERTIES_RESTORED));
            }
        } 
    }"
1,307,derby,DM_DEFAULT_ENCODING,C,last,,I18N,org.apache.derby.client.am,org.apache.derby.client.am.LogWriter$1,,run,,return new PrintWriter(,,700,700,close,https://github.com/apache/derby/tree/acbecbb96a5ae0a3b6bc5948b03f061dfea91662//java/client/org/apache/derby/client/am/LogWriter.java#L700,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/client/org/apache/derby/client/am/LogWriter.java,,unknown,"public PrintWriter run() throws IOException {
                        String fileCanonicalPath =
                            new File(fileName).getCanonicalPath();
                        return new PrintWriter(
                                new BufferedOutputStream(
                                        new FileOutputStream(
                                                fileCanonicalPath, fileAppend), 4096), true);
                        }"
2,1717,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.queryparser.xml,org.apache.lucene.queryparser.xml.QueryTemplateManager,,getQueryAsXmlString,,return baos.toString();,,104,104,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/queryparser/src/java/org/apache/lucene/queryparser/xml/QueryTemplateManager.java#L104,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/queryparser/src/java/org/apache/lucene/queryparser/xml/QueryTemplateManager.java,,unknown,"public String getQueryAsXmlString(Properties formProperties, String queryTemplateName)
      throws SAXException, IOException, ParserConfigurationException, TransformerException {
    Templates ts = compiledTemplatesCache.get(queryTemplateName);
    return getQueryAsXmlString(formProperties, ts);
  }"
3,1782,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.solr.update,org.apache.solr.update.SolrIndexWriter,,toInfoStream,,PrintStream,"PrintStream,PrintStreamInfoStream,fos,true",77,77,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/core/src/java/org/apache/solr/update/SolrIndexWriter.java#L77,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/update/SolrIndexWriter.java,,unknown,"private static InfoStream toInfoStream(SolrIndexConfig config) throws IOException {
    String infoStreamFile = config.infoStreamFile;
    if (infoStreamFile != null) {
      File f = new File(infoStreamFile);
      File parent = f.getParentFile();
      if (parent != null) parent.mkdirs();
      FileOutputStream fos = new FileOutputStream(f, true);
      return new PrintStreamInfoStream(new PrintStream(fos, true));
    } else {
      return InfoStream.NO_OUTPUT;
    }
  }"
4,1820,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.benchmark.byTask.feeds,org.apache.lucene.benchmark.byTask.feeds.DirContentSource,,getNextDocData,,BufferedReader reader = new BufferedReader(new FileReader(f));,,198,198,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java#L198,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java,,unknown,"@Override
  public DocData getNextDocData(DocData docData) throws NoMoreDataException, IOException {
    File f = null;
    String name = null;
    synchronized (this) {
      if (!inputFiles.hasNext()) { 
        // exhausted files, start a new round, unless forever set to false.
        if (!forever) {
          throw new NoMoreDataException();
        }
        inputFiles = new Iterator(dataDir);
        iteration++;
      }
      f = inputFiles.next();
      // System.err.println(f);
      name = f.getCanonicalPath()+""_""+iteration;
    }
    
    BufferedReader reader = new BufferedReader(new FileReader(f));
    String line = null;
    //First line is the date, 3rd is the title, rest is body
    String dateStr = reader.readLine();
    reader.readLine();//skip an empty line
    String title = reader.readLine();
    reader.readLine();//skip an empty line
    StringBuilder bodyBuf = new StringBuilder(1024);
    while ((line = reader.readLine()) != null) {
      bodyBuf.append(line).append(' ');
    }
    reader.close();
    addBytes(f.length());
    
    Date date = parseDate(dateStr);
    
    docData.clear();
    docData.setName(name);
    docData.setBody(bodyBuf.toString());
    docData.setTitle(title);
    docData.setDate(date);
    return docData;
  }"
5,1910,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.benchmark.byTask.tasks,org.apache.lucene.benchmark.byTask.tasks.CreateIndexTask,,configureWriter,,BufferedOutputStream,"BufferedOutputStream,FileOutputStream,PrintStream,f,iwc,setInfoStream",187,187,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CreateIndexTask.java#L187,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/CreateIndexTask.java,,unknown,"public static IndexWriter configureWriter(Config config, PerfRunData runData, OpenMode mode, IndexCommit commit) throws CorruptIndexException, LockObtainFailedException, IOException {
    IndexWriterConfig iwc = createWriterConfig(config, runData, mode, commit);
    String infoStreamVal = config.get(""writer.info.stream"", null);
    if (infoStreamVal != null) {
      if (infoStreamVal.equals(""SystemOut"")) {
        iwc.setInfoStream(System.out);
      } else if (infoStreamVal.equals(""SystemErr"")) {
        iwc.setInfoStream(System.err);
      } else {
        File f = new File(infoStreamVal).getAbsoluteFile();
        iwc.setInfoStream(new PrintStream(new BufferedOutputStream(new FileOutputStream(f))));
      }
    }
    IndexWriter writer = new IndexWriter(runData.getDirectory(), iwc);
    return writer;
  }"
6,2025,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.solr.handler.dataimport,org.apache.solr.handler.dataimport.FileDataSource,,openStream,,FileInputStream,"FileInputStream,InputStreamReader,file",128,128,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/FileDataSource.java#L128,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/FileDataSource.java,,close,"protected Reader openStream(File file) throws FileNotFoundException,
          UnsupportedEncodingException {
    if (encoding == null) {
      return new InputStreamReader(new FileInputStream(file));
    } else {
      return new InputStreamReader(new FileInputStream(file), encoding);
    }
  }"
7,2176,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.benchmark.byTask.utils,org.apache.lucene.benchmark.byTask.utils.Config,,<init>,,ByteArrayInputStream,"ByteArrayInputStream,props,sb,getBytes,load,toString",83,83,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/utils/Config.java#L83,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/benchmark/src/java/org/apache/lucene/benchmark/byTask/utils/Config.java,,unknown,
8,2186,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.codecs,org.apache.lucene.codecs.BlockTreeTermsReader$Stats,,toString,,bos,"bos,toString",385,385,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/java/org/apache/lucene/codecs/BlockTreeTermsReader.java#L385,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/java/org/apache/lucene/codecs/BlockTreeTermsReader.java,,unknown,"@Override
    public String toString() {
      final ByteArrayOutputStream bos = new ByteArrayOutputStream(1024);
      final PrintStream out = new PrintStream(bos);
      
      out.println(""  index FST:"");
      out.println(""    "" + indexNodeCount + "" nodes"");
      out.println(""    "" + indexArcCount + "" arcs"");
      out.println(""    "" + indexNumBytes + "" bytes"");
      out.println(""  terms:"");
      out.println(""    "" + totalTermCount + "" terms"");
      out.println(""    "" + totalTermBytes + "" bytes"" + (totalTermCount != 0 ? "" ("" + String.format(""%.1f"", ((double) totalTermBytes)/totalTermCount) + "" bytes/term)"" : """"));
      out.println(""  blocks:"");
      out.println(""    "" + totalBlockCount + "" blocks"");
      out.println(""    "" + termsOnlyBlockCount + "" terms-only blocks"");
      out.println(""    "" + subBlocksOnlyBlockCount + "" sub-block-only blocks"");
      out.println(""    "" + mixedBlockCount + "" mixed blocks"");
      out.println(""    "" + floorBlockCount + "" floor blocks"");
      out.println(""    "" + (totalBlockCount-floorSubBlockCount) + "" non-floor blocks"");
      out.println(""    "" + floorSubBlockCount + "" floor sub-blocks"");
      out.println(""    "" + totalBlockSuffixBytes + "" term suffix bytes"" + (totalBlockCount != 0 ? "" ("" + String.format(""%.1f"", ((double) totalBlockSuffixBytes)/totalBlockCount) + "" suffix-bytes/block)"" : """"));
      out.println(""    "" + totalBlockStatsBytes + "" term stats bytes"" + (totalBlockCount != 0 ? "" ("" + String.format(""%.1f"", ((double) totalBlockStatsBytes)/totalBlockCount) + "" stats-bytes/block)"" : """"));
      out.println(""    "" + totalBlockOtherBytes + "" other bytes"" + (totalBlockCount != 0 ? "" ("" + String.format(""%.1f"", ((double) totalBlockOtherBytes)/totalBlockCount) + "" other-bytes/block)"" : """"));
      if (totalBlockCount != 0) {
        out.println(""    by prefix length:"");
        int total = 0;
        for(int prefix=0;prefix<blockCountByPrefixLen.length;prefix++) {
          final int blockCount = blockCountByPrefixLen[prefix];
          total += blockCount;
          if (blockCount != 0) {
            out.println(""      "" + String.format(""%2d"", prefix) + "": "" + blockCount);
          }
        }
        assert totalBlockCount == total;
      }

      return bos.toString();
    }"
9,2189,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.search,org.apache.lucene.search.TestFieldCache,,testInfoStream,,assertTrue,"assertTrue,bos,indexOf,toString",122,122,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/search/TestFieldCache.java#L122,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/search/TestFieldCache.java,,unknown,"public void testInfoStream() throws Exception {
    try {
      FieldCache cache = FieldCache.DEFAULT;
      ByteArrayOutputStream bos = new ByteArrayOutputStream(1024);
      cache.setInfoStream(new PrintStream(bos));
      cache.getDoubles(reader, ""theDouble"", false);
      cache.getFloats(reader, ""theDouble"", false);
      assertTrue(bos.toString().indexOf(""WARNING"") != -1);
    } finally {
      FieldCache.DEFAULT.purgeAllCaches();
    }
  }"
10,2221,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.search.spans,org.apache.lucene.search.spans.TestPayloadSpans,,testShrinkToAfterShortestMatch3,,String,"String,payload,payloadSet,add",350,350,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java#L350,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java,,unknown,"public void testShrinkToAfterShortestMatch3() throws CorruptIndexException,
      LockObtainFailedException, IOException {
    Directory directory = newDirectory();
    RandomIndexWriter writer = new RandomIndexWriter(random, directory,
                                                     newIndexWriterConfig(TEST_VERSION_CURRENT, new TestPayloadAnalyzer()));

    Document doc = new Document();
    doc.add(new TextField(""content"", new StringReader(""j k a l f k k p a t a k l k t a"")));
    writer.addDocument(doc);
    IndexReader reader = writer.getReader();
    IndexSearcher is = newSearcher(reader);
    writer.close();

    SpanTermQuery stq1 = new SpanTermQuery(new Term(""content"", ""a""));
    SpanTermQuery stq2 = new SpanTermQuery(new Term(""content"", ""k""));
    SpanQuery[] sqs = { stq1, stq2 };
    SpanNearQuery snq = new SpanNearQuery(sqs, 0, true);
    Spans spans =  MultiSpansWrapper.wrap(is.getTopReaderContext(), snq);

    TopDocs topDocs = is.search(snq, 1);
    Set<String> payloadSet = new HashSet<String>();
    for (int i = 0; i < topDocs.scoreDocs.length; i++) {
      while (spans.next()) {
        Collection<byte[]> payloads = spans.getPayload();

        for (final byte [] payload : payloads) {
          payloadSet.add(new String(payload));
        }
      }
    }
    assertEquals(2, payloadSet.size());
    if(VERBOSE) {
      for (final String payload : payloadSet)
        System.out.println(""match:"" +  payload);
      
    }
    assertTrue(payloadSet.contains(""a:Noise:10""));
    assertTrue(payloadSet.contains(""k:Noise:11""));
    reader.close();
    directory.close();
  }"
11,2282,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.index,org.apache.lucene.index.TestCheckIndex,,testDeletedDocs,,System,"System,bos,out,println,toString",60,60,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/index/TestCheckIndex.java#L60,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/index/TestCheckIndex.java,,unknown,"public void testDeletedDocs() throws IOException {
    Directory dir = newDirectory();
    IndexWriter writer  = new IndexWriter(dir, newIndexWriterConfig(TEST_VERSION_CURRENT, new MockAnalyzer(random)).setMaxBufferedDocs(2));
    for(int i=0;i<19;i++) {
      Document doc = new Document();
      FieldType customType = new FieldType(TextField.TYPE_STORED);
      customType.setStoreTermVectors(true);
      customType.setStoreTermVectorPositions(true);
      customType.setStoreTermVectorOffsets(true);
      doc.add(newField(""field"", ""aaa""+i, customType));
      writer.addDocument(doc);
    }
    writer.forceMerge(1);
    writer.commit();
    writer.deleteDocuments(new Term(""field"",""aaa5""));
    writer.close();

    ByteArrayOutputStream bos = new ByteArrayOutputStream(1024);
    CheckIndex checker = new CheckIndex(dir);
    checker.setInfoStream(new PrintStream(bos));
    if (VERBOSE) checker.setInfoStream(System.out);
    CheckIndex.Status indexStatus = checker.checkIndex();
    if (indexStatus.clean == false) {
      System.out.println(""CheckIndex failed"");
      System.out.println(bos.toString());
      fail();
    }
    
    final CheckIndex.Status.SegmentInfoStatus seg = indexStatus.segmentInfos.get(0);
    assertTrue(seg.openReaderPassed);

    assertNotNull(seg.diagnostics);
    
    assertNotNull(seg.fieldNormStatus);
    assertNull(seg.fieldNormStatus.error);
    assertEquals(1, seg.fieldNormStatus.totFields);

    assertNotNull(seg.termIndexStatus);
    assertNull(seg.termIndexStatus.error);
    assertEquals(19, seg.termIndexStatus.termCount);
    assertEquals(19, seg.termIndexStatus.totFreq);
    assertEquals(18, seg.termIndexStatus.totPos);

    assertNotNull(seg.storedFieldStatus);
    assertNull(seg.storedFieldStatus.error);
    assertEquals(18, seg.storedFieldStatus.docCount);
    assertEquals(18, seg.storedFieldStatus.totFields);

    assertNotNull(seg.termVectorStatus);
    assertNull(seg.termVectorStatus.error);
    assertEquals(18, seg.termVectorStatus.docCount);
    assertEquals(18, seg.termVectorStatus.totVectors);

    assertTrue(seg.diagnostics.size() > 0);
    final List<String> onlySegments = new ArrayList<String>();
    onlySegments.add(""_0"");
    
    assertTrue(checker.checkIndex(onlySegments).clean == true);
    dir.close();
  }"
12,2316,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.lucene.search.spans,org.apache.lucene.search.spans.TestPayloadSpans,,testPayloadSpanUtil,,String,"String,System,bytes,out,println",386,386,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java#L386,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/search/spans/TestPayloadSpans.java,,unknown,"public void testPayloadSpanUtil() throws Exception {
    Directory directory = newDirectory();
    RandomIndexWriter writer = new RandomIndexWriter(random, directory,
                                                     newIndexWriterConfig(TEST_VERSION_CURRENT, new PayloadAnalyzer()).setSimilarityProvider(similarity));

    Document doc = new Document();
    doc.add(newField(PayloadHelper.FIELD,""xx rr yy mm  pp"", TextField.TYPE_STORED));
    writer.addDocument(doc);
  
    IndexReader reader = writer.getReader();
    writer.close();
    IndexSearcher searcher = newSearcher(reader);

    PayloadSpanUtil psu = new PayloadSpanUtil(searcher.getTopReaderContext());
    
    Collection<byte[]> payloads = psu.getPayloadsForQuery(new TermQuery(new Term(PayloadHelper.FIELD, ""rr"")));
    if(VERBOSE)
      System.out.println(""Num payloads:"" + payloads.size());
    for (final byte [] bytes : payloads) {
      if(VERBOSE)
        System.out.println(new String(bytes));
    }
    reader.close();
    directory.close();
  }"
13,2345,lucene-solr,DM_DEFAULT_ENCODING,A,last,,I18N,org.apache.solr.common.util,org.apache.solr.common.util.ContentStreamBase$FileStream,,getReader,,charset,"charset,null",118,118,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/solrj/src/java/org/apache/solr/common/util/ContentStreamBase.java#L118,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/solrj/src/java/org/apache/solr/common/util/ContentStreamBase.java,,unknown,"@Override
    public Reader getReader() throws IOException {
      String charset = getCharsetFromContentType( contentType );
      return charset == null 
        ? new FileReader( file )
        : new InputStreamReader( getStream(), charset );
    }"
