,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,363,derby,SBSC_USE_STRINGBUFFER_CONCATENATION,B,last,,PERFORMANCE,org.apache.derby.impl.sql.compile,org.apache.derby.impl.sql.compile.FromList,,reOrder,,arrayVals,"arrayVals,arrayVals,i,joinOrder",995,995,close,https://github.com/apache/derby/tree/eea0d50c8d732cad9ba563ddfa786b7028eb092f//java/engine/org/apache/derby/impl/sql/compile/FromList.java#L995,https://github.com/apache/derby/tree/33427bdb982a7dd5b9e629ccec9c40f2b96412b4//java/engine/org/apache/derby/impl/sql/compile/FromList.java,,close,"public void reOrder(int[] joinOrder)
	{
		int	posn;

		if (SanityManager.DEBUG)
		{
			if (joinOrder.length != size())
			{
				SanityManager.THROWASSERT(""In reOrder(), size of FromList is "" + size() + "" while size of joinOrder array is "" + joinOrder.length);
			}

			/*
			** Determine that the values in the list are unique and in range.
			** The easiest way to determine that they are unique is to add
			** them all up and see whether the result is what's expected
			** for that array size.
			*/
			int sum = 0;
			for (int i = 0; i < joinOrder.length; i++)
			{
				if (joinOrder[i] < 0 || joinOrder[i] > (joinOrder.length - 1))
				{
					SanityManager.THROWASSERT(""joinOrder["" + i + ""] == "" +
											joinOrder[i] +
											"" is out of range - must be between 0 and "" + 
											(joinOrder.length - 1) +
											"" inclusive."");
				}

				sum += joinOrder[i];
			}

			/*
			** The sum of all integers from 0 through n is (n * (n - 1)) / 2.
			*/
			if (sum != ( ( joinOrder.length * (joinOrder.length - 1) ) / 2) )
			{
				String arrayVals = """";
				for (int i = 0; i < joinOrder.length; i++)
					arrayVals = arrayVals + joinOrder[i] + "" "";
				SanityManager.THROWASSERT(""joinOrder array has some duplicate value: "" + arrayVals);
			}
		}

		/* Form a list that's in the order we want */
		QueryTreeNode[] orderedFL = new FromTable[joinOrder.length];
		for (posn = 0; posn < joinOrder.length; posn++)
		{
			/*
			** Get the element at the i'th join order position from the
			** current list and make it the next element of orderedList.
			*/
			orderedFL[posn] = elementAt(joinOrder[posn]);
		}

		/* Now orderedList has been built, so set this list to the same order */
		for (posn = 0; posn < joinOrder.length; posn++)
		{
			setElementAt(orderedFL[posn], posn);
		}
	}"
1,2561,lucene-solr,SBSC_USE_STRINGBUFFER_CONCATENATION,A,last,,PERFORMANCE,org.apache.lucene.index,org.apache.lucene.index.TestBackwardsCompatibility,,asString,,i,"i,l,s",528,528,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/index/TestBackwardsCompatibility.java#L528,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/index/TestBackwardsCompatibility.java,,unknown,"private String asString(String[] l) {
    String s = """";
    for(int i=0;i<l.length;i++) {
      if (i > 0) {
        s += ""\n    "";
      }
      s += l[i];
    }
    return s;
  }"
2,9869,ant,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.Manifest$Attribute,,getValue,,fullValue,"fullValue,value",280,280,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/Manifest.java#L280,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/Manifest.java,,close,"public String getValue() {
            if (values.size() == 0) {
                return null;
            }

            String fullValue = """";
            for (Enumeration<String> e = getValues(); e.hasMoreElements();) {
                String value = e.nextElement();
                fullValue += value + "" "";
            }
            return fullValue.trim();
        }"
3,1056,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.jasper.compiler,org.apache.jasper.compiler.JDTCompiler$1,,findType,,result += new String(compoundTypeName[i]);,,183,183,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/jasper/compiler/JDTCompiler.java#L183,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/jasper/compiler/JDTCompiler.java,,close,"@Override
                public NameEnvironmentAnswer
                    findType(char[][] compoundTypeName) {
                    String result = """";
                    String sep = """";
                    for (int i = 0; i < compoundTypeName.length; i++) {
                        result += sep;
                        result += new String(compoundTypeName[i]);
                        sep = ""."";
                    }
                    return findType(result);
                }"
4,1241,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.jasper.compiler,org.apache.jasper.compiler.JDTCompiler$2,,acceptResult,,className += new String(compoundName[j]);,,424,424,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/jasper/compiler/JDTCompiler.java#L424,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/jasper/compiler/JDTCompiler.java,,close,"@Override
                public void acceptResult(CompilationResult result) {
                    try {
                        if (result.hasProblems()) {
                            IProblem[] problems = result.getProblems();
                            for (int i = 0; i < problems.length; i++) {
                                IProblem problem = problems[i];
                                if (problem.isError()) {
                                    String name =
                                        new String(problems[i].getOriginatingFileName());
                                    try {
                                        problemList.add(ErrorDispatcher.createJavacError
                                                (name, pageNodes, new StringBuilder(problem.getMessage()),
                                                        problem.getSourceLineNumber(), ctxt));
                                    } catch (JasperException e) {
                                        log.error(""Error visiting node"", e);
                                    }
                                }
                            }
                        }
                        if (problemList.isEmpty()) {
                            ClassFile[] classFiles = result.getClassFiles();
                            for (int i = 0; i < classFiles.length; i++) {
                                ClassFile classFile = classFiles[i];
                                char[][] compoundName =
                                    classFile.getCompoundName();
                                String className = """";
                                String sep = """";
                                for (int j = 0;
                                     j < compoundName.length; j++) {
                                    className += sep;
                                    className += new String(compoundName[j]);
                                    sep = ""."";
                                }
                                byte[] bytes = classFile.getBytes();
                                String outFile = outputDir + ""/"" +
                                    className.replace('.', '/') + "".class"";
                                FileOutputStream fout =
                                    new FileOutputStream(outFile);
                                BufferedOutputStream bos =
                                    new BufferedOutputStream(fout);
                                bos.write(bytes);
                                bos.close();
                            }
                        }
                    } catch (IOException exc) {
                        log.error(""Compilation error"", exc);
                    }
                }"
5,1297,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.catalina.startup,org.apache.catalina.startup.RealmRuleSet,,addRuleInstances,,pattern,pattern,97,97,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/startup/RealmRuleSet.java#L97,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/startup/RealmRuleSet.java,,close,"@Override
    public void addRuleInstances(Digester digester) {

        String pattern = prefix;

        for (int i = 0; i < MAX_NESTED_REALM_LEVELS; i++) {

            if (i > 0) {
                pattern += ""/"";
            }
            pattern += ""Realm"";

            digester.addObjectCreate(pattern,
                                     null, // MUST be specified in the element,
                                     ""className"");
            digester.addSetProperties(pattern);
            if (i == 0) {
                digester.addSetNext(pattern,
                                    ""setRealm"",
                                    ""org.apache.catalina.Realm"");
            } else {
                digester.addSetNext(pattern,
                                    ""addRealm"",
                                    ""org.apache.catalina.Realm"");
            }
        }
    }"
6,1341,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.catalina.servlets,org.apache.catalina.servlets.CGIServlet$CGIEnvironment,,findCGI,,"cginame = cginame + ""/"" + nextElement;",,891,891,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/catalina/servlets/CGIServlet.java#L891,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/catalina/servlets/CGIServlet.java,,close,"protected String[] findCGI(String pathInfo, String webAppRootDir,
                                   String contextPath, String servletPath,
                                   String cgiPathPrefix) {
            String path = null;
            String name = null;
            String scriptname = null;
            String cginame = """";

            if ((webAppRootDir != null)
                && (webAppRootDir.lastIndexOf(File.separator) ==
                    (webAppRootDir.length() - 1))) {
                    //strip the trailing ""/"" from the webAppRootDir
                    webAppRootDir =
                    webAppRootDir.substring(0, (webAppRootDir.length() - 1));
            }

            if (cgiPathPrefix != null) {
                webAppRootDir = webAppRootDir + File.separator
                    + cgiPathPrefix;
            }

            if (debug >= 2) {
                log(""findCGI: path="" + pathInfo + "", "" + webAppRootDir);
            }

            File currentLocation = new File(webAppRootDir);
            StringTokenizer dirWalker =
            new StringTokenizer(pathInfo, ""/"");
            if (debug >= 3) {
                log(""findCGI: currentLoc="" + currentLocation);
            }
            while (!currentLocation.isFile() && dirWalker.hasMoreElements()) {
                if (debug >= 3) {
                    log(""findCGI: currentLoc="" + currentLocation);
                }
                String nextElement = (String) dirWalker.nextElement();
                currentLocation = new File(currentLocation, nextElement);
                cginame = cginame + ""/"" + nextElement;
            }
            if (!currentLocation.isFile()) {
                return new String[] { null, null, null, null };
            }

            if (debug >= 2) {
                log(""findCGI: FOUND cgi at "" + currentLocation);
            }
            path = currentLocation.getAbsolutePath();
            name = currentLocation.getName();

            if (""."".equals(contextPath)) {
                scriptname = servletPath;
            } else {
                scriptname = contextPath + servletPath;
            }
            if (!servletPath.equals(cginame)) {
                scriptname = scriptname + cginame;
            }

            if (debug >= 1) {
                log(""findCGI calc: name="" + name + "", path="" + path
                    + "", scriptname="" + scriptname + "", cginame="" + cginame);
            }
            return new String[] { path, scriptname, cginame, name };
        }"
7,1508,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.jasper.compiler,org.apache.jasper.compiler.JDTCompiler$1,,isPackage,,result += str;,,271,271,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/jasper/compiler/JDTCompiler.java#L271,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/jasper/compiler/JDTCompiler.java,,close,"private boolean isPackage(String result) {
                    if (result.equals(targetClassName)) {
                        return false;
                    }
                    String resourceName = result.replace('.', '/') + "".class"";
                    InputStream is =
                        classLoader.getResourceAsStream(resourceName);
                    return is == null;
                }"
8,1537,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,C,last,,PERFORMANCE,org.apache.jasper.runtime,org.apache.jasper.runtime.JspRuntimeLibrary,,escapeQueryString,,escString,"escString,nextChar",559,559,close,https://github.com/apache/tomcat/tree/411e4cc9b12bb4fd5aadfbb585db9b40afc90d3d//java/org/apache/jasper/runtime/JspRuntimeLibrary.java#L559,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/jasper/runtime/JspRuntimeLibrary.java,,close,"public static String escapeQueryString(String unescString) {
    if ( unescString == null )
        return null;

    String escString    = """";
    String shellSpChars = ""&;`'\""|*?~<>^()[]{}$\\\n"";

    for(int index=0; index<unescString.length(); index++) {
        char nextChar = unescString.charAt(index);

        if( shellSpChars.indexOf(nextChar) != -1 )
        escString += ""\\"";

        escString += nextChar;
    }
    return escString;
    }"
9,1326,tomcat,SBSC_USE_STRINGBUFFER_CONCATENATION,B,last,,PERFORMANCE,org.apache.tomcat.util.http.fileupload,org.apache.tomcat.util.http.fileupload.FileUploadBase,,getParsedHeaders,,end,"end,header,headerPart,nonWs,substring",498,498,close,https://github.com/apache/tomcat/tree/ad9a49cb08bf004af97cad465bba45d21d112325//java/org/apache/tomcat/util/http/fileupload/FileUploadBase.java#L498,https://github.com/apache/tomcat/tree/2b5ab0627098a0b6654afebb914d7c25fd98638d//java/org/apache/tomcat/util/http/fileupload/FileUploadBase.java,,close,"protected FileItemHeaders getParsedHeaders(String headerPart) {
        final int len = headerPart.length();
        FileItemHeadersImpl headers = newFileItemHeaders();
        int start = 0;
        for (;;) {
            int end = parseEndOfLine(headerPart, start);
            if (start == end) {
                break;
            }
            String header = headerPart.substring(start, end);
            start = end + 2;
            while (start < len) {
                int nonWs = start;
                while (nonWs < len) {
                    char c = headerPart.charAt(nonWs);
                    if (c != ' '  &&  c != '\t') {
                        break;
                    }
                    ++nonWs;
                }
                if (nonWs == start) {
                    break;
                }
                // Continuation line found
                end = parseEndOfLine(headerPart, nonWs);
                header += "" "" + headerPart.substring(nonWs, end);
                start = end + 2;
            }
            parseHeaderLine(headers, header);
        }
        return headers;
    }"
