,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,2903,lucene-solr,CN_IDIOM_NO_SUPER_CALL,A,last,,BAD_PRACTICE,org.apache.lucene.codecs.simpletext,org.apache.lucene.codecs.simpletext.SimpleTextStoredFieldsReader,,clone,,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/java/org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/java/org/apache/lucene/codecs/simpletext/SimpleTextStoredFieldsReader.java,,unknown,"@Override
  public StoredFieldsReader clone() {
    if (in == null) {
      throw new AlreadyClosedException(""this FieldsReader is closed"");
    }
    return new SimpleTextStoredFieldsReader(offsets, (IndexInput) in.clone(), fieldInfos);
  }"
1,1931,lucene-solr,CN_IDIOM_NO_SUPER_CALL,C,last,,BAD_PRACTICE,org.apache.lucene.search.spans,org.apache.lucene.search.spans.SpanFirstQuery,,clone,,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/core/src/java/org/apache/lucene/search/spans/SpanFirstQuery.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/search/spans/SpanFirstQuery.java,,close,"@Override
  public SpanFirstQuery clone() {
    SpanFirstQuery spanFirstQuery = new SpanFirstQuery((SpanQuery) match.clone(), end);
    spanFirstQuery.setBoost(getBoost());
    return spanFirstQuery;
  }"
2,2928,lucene-solr,CN_IDIOM_NO_SUPER_CALL,C,last,,BAD_PRACTICE,org.apache.lucene.search.join,org.apache.lucene.search.join.ToChildBlockJoinQuery,,clone,,,,-2,-2,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/join/src/java/org/apache/lucene/search/join/ToChildBlockJoinQuery.java#L-2,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/join/src/java/org/apache/lucene/search/join/ToChildBlockJoinQuery.java,,close,"@Override
  public ToChildBlockJoinQuery clone() {
    return new ToChildBlockJoinQuery(origParentQuery.clone(),
                                     parentsFilter,
                                     doScores);
  }"
3,9670,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant,org.apache.tools.ant.AntClassLoaderTest,,tearDown,,},,52,52,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/AntClassLoaderTest.java#L52,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/AntClassLoaderTest.java,,unknown,"public void tearDown() {
        if (loader != null) {
            loader.cleanup();
        }
        getProject().executeTarget(""cleanup"");
    }"
4,9672,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.UnzipTest,,tearDown,,},,42,42,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/UnzipTest.java#L42,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/UnzipTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
5,9683,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.EchoPropertiesTest,,tearDown,,},,60,60,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/EchoPropertiesTest.java#L60,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/EchoPropertiesTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
6,9686,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs.optional,org.apache.tools.ant.taskdefs.optional.Native2AsciiTest,,tearDown,,},,40,40,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/optional/Native2AsciiTest.java#L40,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/optional/Native2AsciiTest.java,,unknown,"public void tearDown() {
        executeTarget(""tearDown"");
    }"
7,9699,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ProtectedJarMethodsTest,,tearDown,,},,42,42,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java#L42,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ProtectedJarMethodsTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
8,9707,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.taskdefs,org.apache.tools.ant.taskdefs.ReplaceTest,,tearDown,,},,98,98,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/taskdefs/ReplaceTest.java#L98,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/taskdefs/ReplaceTest.java,,unknown,"public void tearDown() {
        executeTarget(""cleanup"");
    }"
9,9710,ant,IJU_TEARDOWN_NO_SUPER,C,last,,CORRECTNESS,org.apache.tools.ant.types.resources,org.apache.tools.ant.types.resources.ResourceListTest,,tearDown,,},,33,33,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/tests/junit/org/apache/tools/ant/types/resources/ResourceListTest.java#L33,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/tests/junit/org/apache/tools/ant/types/resources/ResourceListTest.java,,unknown,"protected void tearDown() throws Exception {
        executeTarget(""tearDown"");
    }"
