,warning id,project,bug_pattern,commit,last_commit_checked,?,bug pattern category,package,class,field,method,type,expr,idents,start_line,end_line,label (automatically determined),commit url,"commit url (of the version compared to, if closed)",code (if open),label,method_content
0,1753,lucene-solr,OBL_UNSATISFIED_OBLIGATION,B,last,,EXPERIMENTAL,org.apache.lucene.search.suggest.fst,org.apache.lucene.search.suggest.fst.Sort,,copy,,FileOutputStream,"FileOutputStream,os,output",303,303,close,https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//lucene/suggest/src/java/org/apache/lucene/search/suggest/fst/Sort.java#L303,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/suggest/src/java/org/apache/lucene/search/suggest/fst/Sort.java,,unknown,"private static void copy(File file, File output) throws IOException {
    // 64kb copy buffer (empirical pick).
    byte [] buffer = new byte [16 * 1024];
    InputStream is = null;
    OutputStream os = null;
    try {
      is = new FileInputStream(file);
      os = new FileOutputStream(output);
      int length;
      while ((length = is.read(buffer)) > 0) {
        os.write(buffer, 0, length);
      }
    } finally {
      IOUtils.close(is, os);
    }
  }"
1,2168,lucene-solr,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.lucene.analysis.cn.smart.hhmm,org.apache.lucene.analysis.cn.smart.hhmm.WordDictionary,,loadFromObj,,FileInputStream,"FileInputStream,loadFromObjectInputStream,serialObj",145,145,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java#L145,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/hhmm/WordDictionary.java,,unknown,"private boolean loadFromObj(File serialObj) {
    try {
      loadFromObjectInputStream(new FileInputStream(serialObj));
      return true;
    } catch (Exception e) {
      throw new RuntimeException(e);
    }
  }"
2,2699,lucene-solr,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.lucene.search.suggest,org.apache.lucene.search.suggest.Sort,,copy,,FileOutputStream,"FileOutputStream,os,output",303,303,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/suggest/src/java/org/apache/lucene/search/suggest/Sort.java#L303,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/suggest/src/java/org/apache/lucene/search/suggest/Sort.java,,unknown,"private static void copy(File file, File output) throws IOException {
    // 64kb copy buffer (empirical pick).
    byte [] buffer = new byte [16 * 1024];
    InputStream is = null;
    OutputStream os = null;
    try {
      is = new FileInputStream(file);
      os = new FileOutputStream(output);
      int length;
      while ((length = is.read(buffer)) > 0) {
        os.write(buffer, 0, length);
      }
    } finally {
      IOUtils.close(is, os);
    }
  }"
3,2775,lucene-solr,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.lucene.util,org.apache.lucene.util.IOUtils,,copy,,FileInputStream,"FileInputStream,fis,source",319,319,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/core/src/java/org/apache/lucene/util/IOUtils.java#L319,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/util/IOUtils.java,,unknown,"public static void copy(File source, File target) throws IOException {
    FileInputStream fis = null;
    FileOutputStream fos = null;
    try {
      fis = new FileInputStream(source);
      fos = new FileOutputStream(target);
      
      final byte [] buffer = new byte [1024 * 8];
      int len;
      while ((len = fis.read(buffer)) > 0) {
        fos.write(buffer, 0, len);
      }
    } finally {
      close(fis, fos);
    }
  }"
4,2905,lucene-solr,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,C,last,,EXPERIMENTAL,org.apache.lucene.index,org.apache.lucene.index.IndexSplitter,,copyFile,,FileInputStream,"FileInputStream,src",160,160,close,https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/misc/src/java/org/apache/lucene/index/IndexSplitter.java#L160,https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/misc/src/java/org/apache/lucene/index/IndexSplitter.java,,unknown,"private static void copyFile(File src, File dst) throws IOException {
    InputStream in = new FileInputStream(src);
    OutputStream out = new FileOutputStream(dst);
    int len;
    while ((len = in.read(copyBuffer)) > 0) {
      out.write(copyBuffer, 0, len);
    }
    in.close();
    out.close();
  }"
5,9673,ant,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.tools.ant.taskdefs.cvslib,org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,,loadUserlist,,FileInputStream,"FileInputStream,userList,usersFile,load",388,388,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java#L388,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/cvslib/ChangeLogTask.java,,open,"private void loadUserlist(final Properties userList)
         throws BuildException {
        if (null != usersFile) {
            try {
                userList.load(new FileInputStream(usersFile));
            } catch (final IOException ioe) {
                throw new BuildException(ioe.toString(), ioe);
            }
        }
    }"
6,9704,ant,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.tools.ant.input,org.apache.tools.ant.input.PropertyFileInputHandler,,readProps,,FileInputStream,"FileInputStream,props,propsFile,load",84,84,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/input/PropertyFileInputHandler.java#L84,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/input/PropertyFileInputHandler.java,,open,"private synchronized void readProps() throws BuildException {
        if (props == null) {
            String propsFile = System.getProperty(FILE_NAME_KEY);
            if (propsFile == null) {
                throw new BuildException(""System property ""
                                         + FILE_NAME_KEY
                                         + "" for PropertyFileInputHandler not""
                                         + "" set"");
            }

            props = new Properties();

            try {
                props.load(new FileInputStream(propsFile));
            } catch (IOException e) {
                throw new BuildException(""Couldn't load "" + propsFile, e);
            }
        }
    }"
7,9724,ant,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.tools.ant.taskdefs.optional.jlink,org.apache.tools.ant.taskdefs.optional.jlink.jlink,,addFile,,FileInputStream,"FileInputStream,file",346,346,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java#L346,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/optional/jlink/jlink.java,,open,"private void addFile(ZipOutputStream output, File file, String prefix,
                         boolean compress) throws IOException {
        //Make sure file exists
        if (!file.exists()) {
            return;
        }
        ZipEntry entry = new ZipEntry(getEntryName(file, prefix));

        entry.setTime(file.lastModified());
        entry.setSize(file.length());
        if (!compress) {
            entry.setCrc(calcChecksum(file));
        }
        FileInputStream input = new FileInputStream(file);

        addToOutputStream(output, input, entry);
    }"
8,9833,ant,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,C,last,,EXPERIMENTAL,org.apache.tools.ant.util,org.apache.tools.ant.util.LayoutPreservingProperties,,saveAs,,FileOutputStream fos = new FileOutputStream(dest);,,249,249,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java#L249,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/util/LayoutPreservingProperties.java,,open,"public void saveAs(File dest) throws IOException {
        FileOutputStream fos = new FileOutputStream(dest);
        store(fos, null);
        fos.close();
    }"
9,9945,ant,OBL_UNSATISFIED_OBLIGATION,C,last,,EXPERIMENTAL,org.apache.tools.ant.taskdefs.optional.i18n,org.apache.tools.ant.taskdefs.optional.i18n.Translate,,processBundle,,FileInputStream,"FileInputStream,ins,propsFile",411,411,close,https://github.com/apache/ant/tree/c92f8f160a3197e8f3df74ceb588f581d08404c0//src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java#L411,https://github.com/apache/ant/tree/7a7307bc999be080c99412b1c67d111af1366ef7//src/main/org/apache/tools/ant/taskdefs/optional/i18n/Translate.java,,open,"private void processBundle(final String bundleFile, final int i,
                               final boolean checkLoaded) throws BuildException {
        final File propsFile = getProject().resolveFile(bundleFile + "".properties"");
        FileInputStream ins = null;
        try {
            ins = new FileInputStream(propsFile);
            loaded = true;
            bundleLastModified[i] = propsFile.lastModified();
            log(""Using "" + propsFile, Project.MSG_DEBUG);
            loadResourceMap(ins);
        } catch (IOException ioe) {
            log(propsFile + "" not found."", Project.MSG_DEBUG);
            //if all resource files associated with this bundle
            //have been scanned for and still not able to
            //find a single resrouce file, throw exception
            if (!loaded && checkLoaded) {
                throw new BuildException(ioe.getMessage(), getLocation());
            }
        }
    }"
